Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Ashanti,Offinso North,A.M.E Zion Clinic,Clinic,Afrancho,CHAG,7.408010000000001,-1.96317
Ashanti,Bekwai Municipal,Abenkyiman Clinic,Clinic,Anwiankwanta,Private,6.46312,-1.58592
Ashanti,Adansi North,Aboabo Health Centre,Health Centre,Aboabo No 2,Government,6.22393,-1.34982
Ashanti,Afigya-Kwabre,Aboabogya Health Centre,Health Centre,Aboabogya,Government,6.8417699999999995,-1.6109799999999999
Ashanti,Kwabre,Aboaso Health Centre,Health Centre,Aboaso,Government,6.8417699999999995,-1.6109799999999999
Ashanti,Offinso North,Aboffour Health Centre,Health Centre,Aboffour,Government,7.129860000000001,-1.7329400000000001
Ashanti,Atwima-Nwabiagya,Abuakwa Maternity Home,Maternity Home,Abuakwa,Private,7.0,-2.0
Ashanti,Atwima-Kwanwoma,Aburaso Methodist clinic,Clinic,Aburaso,CHAG,6.66133,-1.67662
Ashanti,Ejisu-Juaben Municipal,Achiase Health Centre,Health Centre,Achiase,Government,6.455430000000001,-1.3100399999999999
Ashanti,Mampong Municipal,Adidwan Health Centre,Health Centre,Adidwan,Government,7.2516300000000005,-1.40278
Ashanti,Amansie West,Adimposo CHPS,CHPS,Adimposo,Government,6.33659,-1.92588
Ashanti,Asante-Akim North Municipal,Adom Hospital,Hospital,Akratiebesa,Private,6.61879,-1.19202
Ashanti,Ahafo-Ano South,Adom Maternity Home,Maternity Home,Adinyana,Private,6.88364,-1.8733400000000002
Ashanti,Afigya-Kwabre,Adwumakase Kese Health Centre,Health Centre,Adwumakase Kese,Government,6.80813,-1.5393299999999999
Ashanti,Sekyere South,Afamaso Maternity Home,Maternity Home,Afamaso,Private,6.94912,-1.50873
Ashanti,Sekyere Central,Aframso Health Centre,Health Centre,Aframso No.3,Government,7.1447199999999995,-1.12162
Ashanti,Afigya-Kwabre,Afrancho Health Centre,Health Centre,Afrancho,Government,6.81527,-1.59589
Ashanti,Asante-Akim North Municipal,Agogo Presby Hospital,Hospital,Agogo,CHAG,6.7961800000000006,-1.0852899999999999
Ashanti,Sekyere South,Agona Health Centre,Health Centre,Agona,Government,6.93605,-1.49759
Ashanti,Ejisu-Juaben Municipal,Agyenkwa Clinic,Clinic,Hwireso,Private,6.6752199999999995,-1.3815899999999999
Ashanti,Obuasi Municipal,Agyenkwa Clinic,Clinic,New  Estate-Obuasi,Private,6.20898,-1.67103
Ashanti,Atwima-Kwanwoma,Ahenema kokoben Health Centre,Health Centre,Ahenema kokoben,Government,6.62597,-1.64978
Ashanti,Afigya-Kwabre,Ahenkro Health Centre,Health Centre,Ahenkro,Government,6.87155,-1.64009
Ashanti,Sekyere East,Ahmadiya Muslim Hospital,Hospital,Effiduase,Private,6.845339999999999,-1.3836600000000001
Ashanti,Bekwai Municipal,Ahmadiyaa Mission Hospital,Hospital,Kokofu,Private,6.50986,-1.53649
Ashanti,Bekwai Municipal,Ahwene Memorial Hospital,Hospital,Bekwai,Private,6.45491,-1.57071
Ashanti,Adansi South,Aim High Clinic,Clinic,Subin Camp,Private,5.967169999999999,-1.44993
Ashanti,Sekyere East,Akokuaso Health Centre,Health Centre,Akokuaso,Government,6.85355,-1.3358299999999999
Ashanti,Bekwai Municipal,Akomaa Memorial Hospital,Hospital,Kortwia,CHAG,6.43966,-1.53837
Ashanti,Offinso North,Akomadan Health Centre,Health Centre,Akomadan zongo,Government,7.405810000000001,-1.96072
Ashanti,Adansi North,Akrofrom Clinic,Clinic,New Akrofrom,Private,6.15348,-1.47621
Ashanti,Amansie Central,Akrofrom Community Clinic,Clinic,Akrofrom,Government,6.39651,-1.6078299999999999
Ashanti,Adansi South,Akrofrom Health Centre,Health Centre,Akrofrom,Government,6.12385,-1.6538700000000002
Ashanti,Adansi North,Akrokerri Health Centre,Health Centre,Akrokerri,Government,6.29513,-1.63224
Ashanti,Atwima-Nwabiagya,Akropong Health Centre,Health Centre,Akropong,Government,7.0,-2.0
Ashanti,Atwima-Nwabiagya,Akropong Maternity Home,Maternity Home,Akropong,Private,7.0,-2.0
Ashanti,Adansi South,Akutreso Health Centre,Health Centre,Akutreso,Government,6.09619,-1.29292
Ashanti,Ahafo-Ano North,Akwasiase Dressing Station,Clinic,Akwasiase,Quasi-Government,6.99498,-2.19887
Ashanti,Ahafo-Ano North,Alice Memorial Maternity Clinic,Maternity Home,Tepa,Private,6.9996100000000006,-2.1713400000000003
Ashanti,Obuasi Municipal,All Souls Clinic,Clinic,Akaporiso,Private,6.198519999999999,-1.62881
Ashanti,Adansi South,Allen Health Clinic,Clinic,Wamasi,Government,6.08691,-1.69553
Ashanti,Obuasi Municipal,Amansan Clinic,Clinic,Aboagye Krom,Private,6.19128,-1.6504400000000001
Ashanti,Asante-Akim North Municipal,Amantenaman Health Centre,Health Centre,Nyinamponase,Government,6.77005,-1.16254
