Store Number,Store Name,Address,City,Longitude,Latitude
10429-100710,Palmdale & Hwy 395,14136 US Hwy 395 Adelanto CA,Adelanto,-117.4,34.51
635-352,Kanan & Thousand Oaks,5827 Kanan Road Agoura CA,Agoura,-118.76,34.16
74510-27669,Vons-Agoura Hills #2001,5671 Kanan Rd. Agoura Hills CA,Agoura Hills,-118.76,34.15
29839-255026,Target Anaheim T-0677,8148 E SANTA ANA CANYON ROAD AHAHEIM CA,AHAHEIM,-117.75,33.87
23463-230284,Safeway - Alameda 3281,2600 5th Street Alameda CA,Alameda,-122.28,37.79
6479-62999,Park & Central Alameda,1364 Park Street Alameda CA,Alameda,-122.24,37.76
5535-728,Webster & Atlantic - Alameda,720 Atlantic Avenue Alameda CA,Alameda,-122.28,37.78
74877-100291,Safeway - Alameda #2708,2227 South Shore Center Alameda CA,Alameda,-122.25,37.76
11161-103516,Tilden & Blanding,"2671 Blanding Avene, D Alameda CA",Alameda,-122.23,37.77
19859-196187,Target Alameda T-2829,2700 Fifth St Alameda CA,Alameda,-122.28,37.78
5335-904,Alameda Towne Center,2210-J South Shore Drive Alameda CA,Alameda,-122.25,37.76
5543-1657,Las Trampas & Danville Blvd,3225 Danville Boulevard Alamo CA,Alamo,-122.03,37.85
74118-22881,Safeway-Alamo #962,200 Alamo Plaza Alamo CA,Alamo,-122.03,37.85
76267-89722,Target Albany T-1926,1057 Eastshore Hwy Albany CA,Albany,-122.31,37.88
76365-97162,Target Alhambra T-184,1220 West Main Street Alhambra CA,Alhambra,-118.14,34.09
6794-41839,Fremont Ave & Mission Rd,"1131 S Fremont Ave, A Alhambra CA",Alhambra,-118.15,34.08
11220-104633,"Atlantic & Valley, Alhambra",1410 South Atlantic Blvd. Alhambra CA,Alhambra,-118.13,34.08
47671-258708,Albertsons - Alhambras 6543,2400 W. Commonwealth Alhambra CA,Alhambra,-118.15,34.09
9385-96258,"Valley & Almansor, Alhambra",810 E VALLEY BLVD ALHAMBRA CA,ALHAMBRA,-118.11,34.08
5380-673,Main & 1st - Alhambra,101 W. Main Street Alhambra CA,Alhambra,-118.13,34.09
567-509,La Paz & Pacific Park,27072 La Paz Road Aliso Viejo CA,Aliso Viejo,-117.71,33.57
17278-164888,Target Aliso Viejo T-259,26932 La Paz Ave Aliso Viejo CA,Aliso Viejo,-117.71,33.57
26358-182688,Ralphs Aliso Viejo #755,26901 Aliso Creek Rd Aliso Viejo CA,Aliso Viejo,-117.73,33.57
14049-108022,Aliso Creek & Aliso Viejo Pkwy,23411 Aliso Viejo Pkwy Aliso Viejo CA,Aliso Viejo,-117.72,33.59
10260-99460,"Alpine & South Grade, Alpine","2963 Alpine Blvd, 101, American Canyon Marketplace Alpine CA",Alpine,-116.75,32.83
6465-52459,American Canyon & Highway 29,"101 W American Canyon Rd, Napa Junction American Canyon CA",American Canyon,-122.25,38.17
9901-96256,Napa Junction & Hwy 29,6050 Main St American Canyon CA,American Canyon,-122.25,38.18
17850-180364,State College & Placentia,1134 North State College Blvd. Anaheim CA,Anaheim,-117.89,33.85
19824-199324,Disneyland Market House,1313 S. Harbor Blvd Anaheim CA,Anaheim,-117.92,33.81
23316-206410,Harbor & 91 Fwy,1224 North Harbor Blvd Anaheim CA,Anaheim,-117.92,33.85
74800-98365,Vons-Anaheim Hills #2216,8010 E Santa Ana Canyon Rd Anaheim CA,Anaheim,-117.76,33.87
11087-103178,Brookhurst & Alameda,"500 N. Brookhurst Street, Brookhurst Shopping Center Anaheim CA",Anaheim,-117.96,33.84
6877-82102,Brookhurst & Ball,"2219 W. Ball Road, Anaheim Towne Center Anaheim CA",Anaheim,-117.96,33.82
10486-101440,Lincoln & Anaheim,110  West Lincoln Avenue Anaheim CA,Anaheim,-117.91,33.84
6561-40160,Tustin & 91 Fwy,1070 N. Tustin Avenue Anaheim CA,Anaheim,-117.84,33.85
10773-97634,Lincoln & Carleton,1131 W. Lincoln Avenue Anaheim CA,Anaheim,-117.93,33.83
19311-179845,Downtown Disney Store,"1570 S. Disneyland Drive, Suite 105 Anaheim CA",Anaheim,-117.92,33.81
